temp;A;B;C;D;E;F;E/B
 74.5;17407;46665;13741;39938;7572;11771;5960
 74.9;17330;46595;13901;40210;7730;11709;5921
 75.2;17137;46609;13996;39996;7522;11779;5927
 75.5;16930;46629;13958;40199;7517;11599;5771
 75.7;16794;46154;13991;39738;7481;11534;5834
 76.0;16808;46232;13940;39586;7381;11387;5780
 76.2;16436;45919;13958;39481;7268;11224;5798
 76.5;16224;45714;13865;39229;7296;11187;5699
 76.9;16117;45494;13942;38427;7162;11043;5692
 77.0;15764;45085;13722;38416;7258;10877;5762
 77.5;15740;44669;13607;38165;7117;10853;5606
 77.7;15358;44290;13540;37815;7125;10686;5608
 78.0;15041;43417;13506;37268;7018;10515;5623
 78.2;14801;42566;13217;36883;6983;10410;5587
 78.5;14455;41533;13198;36263;6813;10205;5525
 78.7;14368;38806;12935;35221;6799;9902;5523
 79.0;14102;34163;12652;33766;6768;9696;5480
 79.4;14022;26916;12120;31985;6572;9503;5499
 79.5;13834;14990;11372;28401;6345;9061;5398
 79.9;13745;7561;9964;21948;6200;8392;5436
 80.2;13463;6495;7902;13171;5892;7686;5421
 80.5;13309;6298;5990;7275;5623;6759;5450
 80.7;13197;6298;5695;6415;5214;5985;5370
 81.0;12991;6340;5574;6321;5109;5488;5375
 81.2;12772;6223;5532;6244;4853;5329;5366
 81.5;11842;6273;5534;6189;4816;5139;5400
 81.9;11415;6200;5495;6153;4750;5189;5387
 82.0;11244;6225;5512;6103;4784;5129;5406
 82.2;11055;6090;5546;6133;4739;5048;5372
 82.5;11084;6133;5464;6124;4691;5092;5276
 82.9;10855;6070;5462;5988;4783;5069;5392
 83.2;10689;6159;5446;5941;4676;5083;5311
 83.4;10653;5971;5354;5905;4749;5073;5327
 83.7;10381;6027;5435;5898;4684;5012;5284
 83.9;10279;6083;5284;5833;4579;5061;5243
 84.2;10089;6052;5401;5889;4703;4961;5217
 84.5;9791;5880;5231;5730;4639;5014;5206
 84.7;9516;5838;5294;5854;4546;4915;5267
 85.0;9282;5887;5347;5687;4570;4927;5187
 85.2;8851;5858;5301;5705;4636;4997;5203
 85.5;8600;5837;5344;5695;4641;4996;5119
 85.7;8398;5857;5252;5595;4649;4912;5191
 86.0;8047;5832;5186;5631;4580;4927;5162
 86.4;7623;5717;5274;5620;4608;4911;5165
 86.5;6888;5796;5211;5636;4553;4883;5086
 86.9;6005;5727;5229;5505;4586;4955;5219
 87.0;5724;5702;5235;5469;4552;4909;5081
 87.5;5532;5747;5271;5475;4557;4809;5165
 87.7;5591;5639;5211;5540;4527;4843;5053
 87.9;5516;5575;5115;5384;4490;4804;5079
 88.2;5467;5591;5119;5429;4434;4798;5099
 88.5;5536;5607;5109;5438;4430;4778;5058
 88.7;5431;5590;5047;5445;4371;4811;5074
 89.0;5485;5538;5179;5393;4440;4891;5079
 89.2;5364;5563;5142;5337;4432;4752;5023
 89.5;5475;5542;5110;5344;4442;4834;5093
 89.7;5419;5437;5080;5297;4310;4806;5007
 90.0;5420;5504;5069;5263;4359;4792;4938
 90.2;5447;5519;5113;5231;4432;4665;5025
 90.5;5307;5494;5038;5226;4340;4735;5018
 90.7;5378;5451;5084;5204;4325;4713;5018
 91.2;5390;5419;4928;5112;4368;4707;4965
 91.4;5364;5376;5003;5277;4362;4748;4976
 91.7;5344;5397;5017;5206;4323;4705;4963
 91.9;5327;5359;4954;5191;4354;4729;5003
 92.2;5344;5367;4960;5136;4289;4671;4973
 92.4;5372;5395;4949;5137;4294;4627;4998
 92.7;5250;5286;4963;5181;4292;4695;4977
 93.0;5271;5284;4951;5092;4304;4713;4979
 93.2;5277;5387;4972;5081;4252;4657;5004
 93.5;5289;5442;4921;5008;4296;4699;4927
 93.7;5300;5302;4888;5011;4326;4611;4884
 94.0;5255;5271;4906;5044;4287;4599;4908
 94.4;5281;5233;4844;4966;4214;4701;4826
 94.5;5278;5322;4970;5054;4271;4651;4866
